Kassel,323216
Kingston,956716
Derry,98319
Birmingham,1000010
West Palm Beach,1370178
Springfield,748567
Philadelphia,6423182
New York,23637491
Modesto,499571
Milwaukee,1808050
Lakeland,586166
Johnson City,545875
Hartford,1249066
Fort Wayne,540913
Chicago,9506302
Chattanooga,528899
Augusta,582726
Allentown,662155
Harare,3520851
Ndola,670574
Kitwe,1202600
Lusaka,3388411
Port Elizabeth,1426301
Pretoria,2610382
Vereeniging,901339
Cape Town,5461096
Johannesburg,8760375
Beograd,1801275
Da Nang,874322
Maracaibo,2733744
Maracay,1721828
Caracas,4714724
Barquisimeto,1600716
Namangan,682335
Samarkand,592752
Toshkent,3194167
Fargona,545712
Andijon,574616
Montevideo,1936446
Quad Cities,276122
Mobile,609081
Tucson,982612
Knoxville,790158
Daytona Beach,601575
Grand Rapids,1188422
Stockton,656307
San Antonio,1951561
Fresno,1125447
Louisville,1097987
Norfolk-Virginia Beach,1712207
Charlotte,1975183
Charleston,607150
New Orleans,1333453
Columbia,657312
Raleigh,1692184
Harrisburg,681207
Scranton,609332
Rochester,1099206
Nashville,1520668
Toledo,601753
Las Vegas,2441070
Richmond,1163980
Boise City,626939
Cincinnati,2109110
Providence,1325283
Tulsa,920789
Columbus,1737060
Oklahoma City,1237416
Greenville,1150918
Little Rock,646335
Kansas City,1983298
Omaha,803994
Dayton,917263
Sarasota-Bradenton,699788
Tampa,2710579
Memphis,1246303
Baton Rouge,668159
Miami,5591511
Youngstown,567665
Austin,1938772
Syracuse,694022
Jacksonville,1315603
Greensboro,1505028
Bakersfield,802012
Sacramento,2132861
Denver,2759730
Phoenix,4416337
Minneapolis-Saint Paul,3388244
Wichita,609107
Indianapolis,1857366
Salt Lake City,2452598
Orlando,2206894
Portland,2728881
Pittsburgh,2316384
Houston,5988459
Seattle,4106705
Albuquerque,835588
Albany,859270
San Francisco,7776772
Cleveland,2944315
Colorado Springs,625731
Honolulu,948799
Los Angeles,18166232
Saint Louis,2670196
Dallas,6947505
Atlanta,5564899
Boston,6237332
Washington-Baltimore,8519486
Kampala,1991129
Odesa,1111234
Luhans'k,534378
Kyyiv,2962008
Lysychans'k,341991
Kramators'k,607309
Kharkiv,1560579
Donets'k,1592014
Dnipropetrovs'k,1374240
Horlivka,488023
Stakhanov-Alchevs'k,536521
Tainan,840294
Kaohsiung,2812496
Taipei,8688537
Taichung,2321075
San Fernando,157639
Port of Spain,283852
Izmir,2943772
Istanbul,15311936
Ankara,3945822
Tunis,2155648
Dushanbe,1012091
Krung Thep,10495283
Halab,2845573
Dimashq,2964311
San Salvador,1990798
Stockholm,1798661
al-Khartum,4229432
al-Hufuf,945460
ad-Dammam,1868052
Vorone_,950288
Volgograd,1463603
Vladivostok,667295
Uljanovsk,625510
Tula,604701
Toljatti,712861
Tomsk,629071
Sankt-Peterburg,4730144
Rostov-na-Donu,1378621
Perm,950974
Penza,522089
Orenburg,565284
Omsk,1124382
Novosibirsk,1461829
Novokuzneck,812083
Ni_nij Novgorod,1739118
Lipeck,595497
Kirov,476616
Samara,1405728
Kemerovo,485824
Saratov,1056286
_eljabinsk,1234784
_eboksary,597910
Brjansk,473368
Krasnojarsk,1011447
Barnaul,730598
Moskva,15098067
Krasnodar,858703
Bucuresti,2133504
ad-Dawh_ah,858735
Porto,1340881
Lisboa,2572701
Poznan,631659
Szczecin,503593
Gdansk,865240
Warszawa,2270212
Katowice,2512734
Rawalpindi,2300000
Hyderabad,1723044
Gujranwala,1650000
Manila,22160588
Papeete,108258
Chiclayo,1040045
Masqat,1318799
Wellington,373508
Napier-Hastings,123319
Hamilton,198296
Auckland,1371992
Kathmandu,1908268
Randstad,6633589
Managua,1925216
Port Harcourt,1804060
Ogbomosho,1334387
Enugu,914185
Ilesha,799712
Oshogbo,2088527
Kano,4956615
Onitsha,1708539
Ibadan,5881345
Lagos,14949193
Ado,702381
Abuja,938799
Abeokuta,1073574
Aba,1235988
Maputo,2267422
Singapore-Johor Bahru,6296173
Ipoh,798708
Pinang,1230181
Kuala Lumpur,7504878
Villahermosa,800926
Veracruz,688495
Saltillo,793268
San Diego-Tijuana,5271078
MacAllen-Reynosa,1845730
Nuevo Laredo,830962
Matamoros-Brownsville,1204740
Hermosillo,875899
Guadalajara,4498511
Chihuahua,946301
Monterrey,4266013
Puebla,3148494
Tampico,873012
Mexicali,1013701
Aguascalientes,915708
Coatzacoalcos,785129
Acapulco,1009388
Port Louis,667098
Valletta,254860
Fort-de-France,186197
Bamako,2505216
Skopje,637524
Antananarivo,1872639
Chisinau,659726
Tarabulus,1902854
Bangazi,1170987
Riga,765253
Monrovia,2195096
Kolamba,2702395
Bayrut,2089047
Almati,1468553
al-Kuwayt,2860669
Ulsan,1433245
Taejon,2149281
Pusan,4434834
Taegu,3230675
Kwangju,1627684
Changwon-Masan,1485931
Soul,21555890
Nairobi,4522805
Okayama,1315177
Toyohashi,609891
Numazu,442318
Sendai,1770962
Hiroshima,1890823
Hamamatsu,1250493
Shizuoka,1626477
Sapporo,2655799
Fukuoka-Kitakyushu,4318448
_ita,667473
Wakayama,519799
Osaka-Kobe-Kyoto,17416086
Nagoya,8909058
Tokyo,38197710
Irbid,954929
Firenze,874130
Palermo,1028311
Genova,693365
Bologna,580032
Torino,1726044
Roma,4185330
Catania,882938
Napoli,3917763
Milano,4442968
Tehran,13828365
Esfahan,3293711
al-Ba_rah,5033385
Bagdad,8942101
Yamun_nagar,378495
Warangal,688529
Surendranagar,300871
Vizianagaram,233166
Velluru,463096
Vadodara,1780279